ID,isFreq,isVar,clickNum,time,timePeriod,isCorrect,onSwimmer,isDuringDrowning,onDiver,clickDelay,expression,swimmerStill,swimmerX,swimmerY,StuckToWalls,,,,,,,,,,
11,1,0,36,800.604793071746,Condition,True,True,True,False,1.51032519340515,3,False,766,602,0,,,,,,,,,,
11,1,0,42,838.611744880676,Condition,True,True,True,False,1.57774686813354,2,True,688,258,0,,,,,,,,,,
11,1,0,25,534.649101018905,Condition,True,True,True,False,1.60191917419433,2,False,692,199,0,,,,,,,,,,
11,1,0,41,827.754214048385,Condition,True,True,True,False,1.71886014938354,3,False,731,617,0,,,,,,,,,,
11,1,0,1,64.9140720367431,Initial,True,True,True,False,1.83441519737243,2,True,93,163,0,,,,,,,,,,
11,1,0,45,957.138139009475,Condition,True,True,True,False,2.08757901191711,3,True,836,343,0,,,,,,,,,,
11,1,0,21,453.162268877029,Condition,True,True,True,False,2.08993983268737,3,False,140,136,0,,,,,,,,,,
11,1,0,7,237.301460027694,Condition,True,True,True,False,2.25389218330383,3,False,427,409,0,,,,,,,,,,
11,1,0,32,705.359895944595,Condition,True,True,True,False,2.26457905769348,3,True,794,54,0,,,,,,,,,,
11,1,0,23,496.312798023223,Condition,True,True,True,False,2.28390002250671,2,False,619,316,0,,,,,,,,,,
11,1,0,13,280.422735929489,Condition,True,True,True,False,2.33652305603027,3,False,1028,593,0,,,,,,,,,,
11,1,0,14,292.434684991836,Condition,True,True,True,False,2.34443497657775,2,False,401,620,0,,,,,,,,,,
11,1,0,20,415.49833703041,Condition,True,True,False,False,2.38474607467651,3,False,210,275,0,,,,,,,,,,
11,1,0,22,469.486413002014,Condition,True,True,True,False,2.40633606910705,2,True,1049,431,0,,,,,,,,,,
11,1,0,12,275.58414697647,Condition,True,True,True,False,2.49141597747802,3,True,210,289,0,,,,,,,,,,
11,1,0,43,913.588317871093,Condition,True,True,True,False,2.51021695137023,3,False,194,431,0,,,,,,,,,,
11,1,0,38,804.651762962341,Condition,True,True,True,False,2.60,3,False,465,557,0,,,,,,,,,,
11,1,0,19,414.713400840759,Condition,True,True,True,False,2.63972377777099,3,False,287,380,0,,,,,,,,,,
11,1,0,4,183.874130964279,Condition,True,True,True,False,2.74204611778259,3,False,747,455,0,,,,,,,,,,
11,1,0,34,723.066616058349,Condition,True,True,True,False,3.03789901733398,3,False,726,227,0,,,,,,,,,,
11,1,0,10,259.299816846847,Condition,True,True,True,False,3.18925499916076,2,True,361,124,0,,,,,,,,,,
11,1,0,16,399.252693891525,Condition,True,True,True,False,3.20641684532165,3,True,267,360,0,,,,,,,,,,
11,1,0,6,214.449286937713,Condition,True,True,True,False,3.35467100143432,3,True,1010,104,0,,,,,,,,,,
11,1,0,35,748.46917104721,Condition,True,True,True,False,3.40871906280517,3,False,160,134,0,,,,,,,,,,
11,1,0,5,192.675135850906,Condition,True,True,True,False,3.5816159248352,2,False,896,623,0,,,,,,,,,,
11,1,0,44,935.975884914398,Condition,True,True,True,False,3.91492795944213,2,False,263,378,0,,,,,,,,,,
11,1,0,31,665.984863042831,Condition,True,True,True,False,3.94510412216186,2,True,182,509,0,,,,,,,,,,
11,1,0,17,401.052762031555,Condition,True,True,False,False,3.96847605705261,2,False,841,343,0,,,,,,,,,,
11,1,0,46,958.066608905792,Condition,True,True,False,False,4.00860095024108,2,False,1120,209,0,,,,,,,,,,
11,1,0,0,10.4282610416412,Initial,True,True,True,False,4.36,3,False,673,85,0,,,,,,,,,,
11,1,0,27,555.093858003616,Condition,True,True,True,False,5.05065011978149,2,False,136,232,0,,,,,,,,,,
11,1,0,40,816.17,Condition,True,True,False,False,5.09202289581298,3,False,1008,65,0,,,,,,,,,,
11,1,0,55,1168.68614697456,End,True,True,True,False,5.58056998252868,3,True,1034,255,0,,,,,,,,,,
11,1,0,39,813.656262874603,Condition,True,True,True,False,7.56435894966125,2,False,225,202,0,,,,,,,,,,
11,1,0,48,999.688766956329,Condition,True,True,False,False,7.62045502662658,2,False,753,115,0,,,,,,,,,,
11,1,0,2,69.5546538829803,Initial,False,False,False,False,,,,,,0,,,,,,,,,,
11,1,0,18,413.916318893432,Condition,False,False,True,False,,,,,,0,,,,,,,,,,
11,1,0,24,533.996424913406,Condition,False,False,True,False,,,,,,0,,,,,,,,,,
11,1,0,33,719.422070026397,Condition,False,False,False,False,,,,,,0,,,,,,,,,,
11,1,0,37,804.067347049713,Condition,False,False,True,False,,,,,,0,,,,,,,,,,
11,1,0,50,1046.42332696914,End,False,False,False,False,,,,,,0,,,,,,,,,,
11,1,0,51,1047.63599586486,End,False,False,False,False,,,,,,0,,,,,,,,,,
11,1,0,52,1048.24656391143,End,False,False,False,False,,,,,,0,,,,,,,,,,
11,1,0,54,1168.29406905174,End,False,False,True,False,,,,,,0,,,,,,,,,,
12,0,0,3,63.2080361843109,Initial,True,True,True,False,0.156265497207641,3,False,962,615,0,,,,,,,,,,
12,0,0,1,6.84867811203002,Initial,True,True,True,False,0.743499994277954,3,True,759,128,0,,,,,,,,,,
12,0,0,9,99.829089641571,Initial,True,True,True,False,1.68349266052246,3,False,812,513,0,,,,,,,,,,
12,0,0,22,1039.81646680831,End,True,True,True,False,1.73556947708129,2,False,136,611,0,,,,,,,,,,
12,0,0,20,920.64814043045,Condition,True,True,True,False,2.55624604225158,3,False,606,240,0,,,,,,,,,,
12,0,0,16,325.542864322662,Condition,True,True,True,False,3.49456620216369,3,False,940,67,0,,,,,,,,,,
12,0,0,19,653.616872072219,Condition,True,True,True,False,3.52916145324707,2,False,910,142,0,,,,,,,,,,
12,0,0,24,1166.72672009468,End,True,True,True,False,3.59662175178527,2,False,980,54,0,,,,,,,,,,
12,0,0,17,450.01,Condition,True,True,True,False,3.89207506179809,3,False,118,459,0,,,,,,,,,,
12,0,0,14,180.923018693923,Condition,True,True,True,False,6.88233304023742,2,True,377,178,0,,,,,,,,,,
12,0,0,23,1090.4304151535,End,True,True,True,False,7.3848328590393,3,False,374,496,0,,,,,,,,,,
12,0,0,0,4.42588663101196,Initial,False,True,False,True,,1,True,759,128,0,,,,,,,,,,
12,0,0,2,30.7787365913391,Initial,False,True,False,True,,1,False,813,198,0,,,,,,,,,,
12,0,0,4,70.4881064891815,Initial,False,True,False,True,,1,False,345,280,0,,,,,,,,,,
12,0,0,5,74.2360503673553,Initial,False,True,False,True,,1,False,345,494,0,,,,,,,,,,
12,0,0,6,92.193605184555,Initial,False,True,False,True,,1,True,613,437,0,,,,,,,,,,
12,0,0,7,94.5448143482208,Initial,False,True,False,True,,1,False,576,263,0,,,,,,,,,,
12,0,0,8,95.7205944061279,Initial,False,True,False,True,,1,False,620,144,0,,,,,,,,,,
12,0,0,10,116.988581418991,Initial,False,True,False,True,,1,False,99,288,0,,,,,,,,,,
12,0,0,11,147.251020431518,Condition,False,True,False,True,,1,False,616,259,0,,,,,,,,,,
12,0,0,12,173.821951389312,Condition,False,True,False,True,,1,True,377,178,0,,,,,,,,,,
12,0,0,13,180.438645124435,Condition,False,False,True,False,,,,,,0,,,,,,,,,,
12,0,0,15,181.235552549362,Condition,False,True,False,False,,0,False,377,178,0,,,,,,,,,,
12,0,0,18,505.310617446899,Condition,False,False,False,False,,,,,,0,,,,,,,,,,
12,0,0,21,1010.16411089897,Condition,False,True,False,True,,1,False,370,474,0,,,,,,,,,,
12,0,0,25,1195.7192993164,End,False,True,False,True,,1,False,996,240,0,,,,,,,,,,
12,0,0,26,1196.68554449081,End,False,True,False,True,,1,False,986,230,0,,,,,,,,,,
13,1,0,20,451.744927167892,Condition,True,True,True,False,0.578269004821777,2,False,836,281,0,,,,,,,,,,
13,1,0,2,98.8256421089172,Initial,True,True,True,False,0.700927972793579,3,False,1034,441,0,,,,,,,,,,
13,1,0,10,261.162858009338,Condition,True,True,True,False,0.877400875091552,2,False,562,464,0,,,,,,,,,,
13,1,0,49,1084.10760307312,End,True,True,True,False,0.918440103530883,2,False,714,566,0,,,,,,,,,,
13,1,0,29,595.191128969192,Condition,True,True,True,False,0.942461013793945,2,True,186,400,0,,,,,,,,,,
13,1,0,40,838.135813951492,Condition,True,True,True,False,0.970667839050293,3,False,459,258,0,,,,,,,,,,
13,1,0,41,912.191979169845,Condition,True,True,True,False,0.97326111793518,3,False,404,174,0,,,,,,,,,,
13,1,0,0,7.12166213989257,Initial,True,True,True,False,0.99,2,True,194,615,0,,,,,,,,,,
